"","terr_id","year","territory","final_year","extinction","count_cities"
"87","0B0079",1726,"Bourbonen (Frankreich)",1823,0,2
"88","0B0079",1727,"Bourbonen (Frankreich)",1823,0,2
"89","0B0079",1728,"Bourbonen (Frankreich)",1823,0,2
"90","0B0079",1729,"Bourbonen (Frankreich)",1823,0,2
"91","0B0079",1730,"Bourbonen (Frankreich)",1823,0,2
"92","0B0079",1731,"Bourbonen (Frankreich)",1823,0,2
"93","0B0079",1732,"Bourbonen (Frankreich)",1823,0,2
"94","0B0079",1733,"Bourbonen (Frankreich)",1823,0,3
"95","0B0079",1734,"Bourbonen (Frankreich)",1823,0,3
"96","0B0079",1735,"Bourbonen (Frankreich)",1823,0,3
"97","0B0079",1736,"Bourbonen (Frankreich)",1823,0,2
"98","0B0079",1737,"Bourbonen (Frankreich)",1823,0,2
"99","0B0079",1738,"Bourbonen (Frankreich)",1823,0,2
"100","0B0079",1739,"Bourbonen (Frankreich)",1823,0,2
"101","0B0079",1740,"Bourbonen (Frankreich)",1823,0,2
"102","0B0079",1741,"Bourbonen (Frankreich)",1823,0,2
"103","0B0079",1742,"Bourbonen (Frankreich)",1823,0,2
"104","0B0079",1743,"Bourbonen (Frankreich)",1823,0,2
"105","0B0079",1744,"Bourbonen (Frankreich)",1823,0,2
"106","0B0079",1745,"Bourbonen (Frankreich)",1823,0,2
"107","0B0079",1746,"Bourbonen (Frankreich)",1823,0,2
"108","0B0079",1747,"Bourbonen (Frankreich)",1823,0,2
"109","0B0079",1748,"Bourbonen (Frankreich)",1823,0,2
"110","0B0079",1749,"Bourbonen (Frankreich)",1823,0,2
"111","0B0079",1750,"Bourbonen (Frankreich)",1823,0,2
"112","0B0079",1751,"Bourbonen (Frankreich)",1823,0,2
"113","0B0079",1752,"Bourbonen (Frankreich)",1823,0,2
"114","0B0079",1753,"Bourbonen (Frankreich)",1823,0,2
"115","0B0079",1754,"Bourbonen (Frankreich)",1823,0,2
