"","city_id","year","city","terr_id","territory","final_year","extinction","count_cities","count_diff","real_wage","welfare_ratio"
"43",1013,1826,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1010,0,NA,NA
"44",1013,1827,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1010,0,NA,NA
"45",1013,1828,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1010,0,NA,NA
"46",1013,1829,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1010,0,NA,NA
"47",1013,1830,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1010,0,NA,NA
"48",1013,1831,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1010,0,NA,NA
"49",1013,1832,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1010,0,NA,NA
"50",1013,1833,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1010,0,NA,NA
"51",1013,1834,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1011,1,NA,NA
"52",1013,1835,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1011,0,NA,NA
"53",1013,1836,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1011,0,NA,NA
"54",1013,1837,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1011,0,NA,NA
"55",1013,1838,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1011,0,NA,NA
"56",1013,1839,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1011,0,NA,NA
"57",1013,1840,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1011,0,NA,NA
"58",1013,1841,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1011,0,NA,NA
"59",1013,1842,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1011,0,NA,NA
"60",1013,1843,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1011,0,NA,NA
"61",1013,1844,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1011,0,NA,NA
"62",1013,1845,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1011,0,NA,NA
"63",1013,1846,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1011,0,NA,NA
"64",1013,1847,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1011,0,NA,NA
"65",1013,1848,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1011,0,NA,NA
"66",1013,1849,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1011,0,NA,NA
"67",1013,1850,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1019,8,NA,NA
"68",1013,1851,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1019,0,NA,NA
"69",1013,1852,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1019,0,NA,NA
"70",1013,1853,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1019,0,NA,NA
"71",1013,1854,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1019,0,NA,NA
"72",1013,1855,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1019,0,NA,NA
"73",1013,1856,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1019,0,NA,NA
"74",1013,1857,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1019,0,NA,NA
"75",1013,1858,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1019,0,NA,NA
"76",1013,1859,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1019,0,NA,NA
"77",1013,1860,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1019,0,NA,NA
"78",1013,1861,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1019,0,NA,NA
"79",1013,1862,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1019,0,NA,NA
"80",1013,1863,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1019,0,NA,NA
"81",1013,1864,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1021,2,NA,NA
"82",1013,1865,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1034,13,NA,NA
"83",1013,1866,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1251,217,NA,NA
"84",1013,1867,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,28,NA,NA
"85",1013,1868,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"86",1013,1869,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"87",1013,1870,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"88",1013,1871,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"89",1013,1872,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"90",1013,1873,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"91",1013,1874,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"92",1013,1875,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"93",1013,1876,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"94",1013,1877,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"95",1013,1878,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"96",1013,1879,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"97",1013,1880,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"98",1013,1881,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"99",1013,1882,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"100",1013,1883,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"101",1013,1884,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"102",1013,1885,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"103",1013,1886,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"104",1013,1887,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"105",1013,1888,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"106",1013,1889,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"107",1013,1890,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"108",1013,1891,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"109",1013,1892,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"110",1013,1893,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"111",1013,1894,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"112",1013,1895,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"113",1013,1896,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"114",1013,1897,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"115",1013,1898,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"116",1013,1899,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"117",1013,1900,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"118",1013,1901,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"119",1013,1902,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"120",1013,1903,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"121",1013,1904,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"122",1013,1905,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"123",1013,1906,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"124",1013,1907,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"125",1013,1908,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"126",1013,1909,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"127",1013,1910,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"128",1013,1911,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"129",1013,1912,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"130",1013,1913,"Gdansk","B3742","(Hohenzollern-)Brandenburg (jüngere Linie)",1940,0,1279,0,NA,NA
"131",6001,1300,"Hamburg","S037","Sachsen-Lauenburg",1688,0,40,NA,NA,NA
"132",6001,1301,"Hamburg","S037","Sachsen-Lauenburg",1688,0,40,0,NA,NA
"133",6001,1302,"Hamburg","S037","Sachsen-Lauenburg",1688,0,40,0,NA,NA
"134",6001,1303,"Hamburg","S037","Sachsen-Lauenburg",1688,0,40,0,NA,NA
"135",6001,1304,"Hamburg","S037","Sachsen-Lauenburg",1688,0,40,0,NA,NA
"136",6001,1305,"Hamburg","S037","Sachsen-Lauenburg",1688,0,38,-2,NA,NA
"137",6001,1306,"Hamburg","S037","Sachsen-Lauenburg",1688,0,38,0,NA,NA
"138",6001,1307,"Hamburg","S037","Sachsen-Lauenburg",1688,0,38,0,NA,NA
"139",6001,1308,"Hamburg","S037","Sachsen-Lauenburg",1688,0,38,0,NA,NA
"140",6001,1309,"Hamburg","S037","Sachsen-Lauenburg",1688,0,38,0,NA,NA
"141",6001,1310,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,1,NA,NA
"142",6001,1311,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"143",6001,1312,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"144",6001,1313,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"145",6001,1314,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"146",6001,1315,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"147",6001,1316,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"148",6001,1317,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"149",6001,1318,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"150",6001,1319,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"151",6001,1320,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"152",6001,1321,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"153",6001,1322,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"154",6001,1323,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"155",6001,1324,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"156",6001,1325,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"157",6001,1326,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"158",6001,1327,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"159",6001,1328,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"160",6001,1329,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"161",6001,1330,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"162",6001,1331,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"163",6001,1332,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"164",6001,1333,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"165",6001,1334,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"166",6001,1335,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"167",6001,1336,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"168",6001,1337,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"169",6001,1338,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"170",6001,1339,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"171",6001,1340,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"172",6001,1341,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"173",6001,1342,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"174",6001,1343,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"175",6001,1344,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"176",6001,1345,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"177",6001,1346,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"178",6001,1347,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"179",6001,1348,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"180",6001,1349,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"181",6001,1350,"Hamburg","S037","Sachsen-Lauenburg",1688,0,39,0,NA,NA
"182",6001,1351,"Hamburg","S037","Sachsen-Lauenburg",1688,0,40,1,NA,NA
"183",6001,1352,"Hamburg","S037","Sachsen-Lauenburg",1688,0,40,0,NA,NA
"184",6001,1353,"Hamburg","S037","Sachsen-Lauenburg",1688,0,40,0,NA,NA
"185",6001,1354,"Hamburg","S037","Sachsen-Lauenburg",1688,0,40,0,NA,NA
"186",6001,1355,"Hamburg","S037","Sachsen-Lauenburg",1688,0,40,0,NA,NA
"187",6001,1356,"Hamburg","S037","Sachsen-Lauenburg",1688,0,40,0,NA,NA
"188",6001,1357,"Hamburg","S037","Sachsen-Lauenburg",1688,0,33,-7,NA,NA
"189",6001,1358,"Hamburg","S037","Sachsen-Lauenburg",1688,0,33,0,NA,NA
"190",6001,1359,"Hamburg","S037","Sachsen-Lauenburg",1688,0,33,0,NA,NA
"191",6001,1360,"Hamburg","S037","Sachsen-Lauenburg",1688,0,33,0,NA,NA
"192",6001,1361,"Hamburg","S037","Sachsen-Lauenburg",1688,0,33,0,NA,NA
"193",6001,1362,"Hamburg","S037","Sachsen-Lauenburg",1688,0,33,0,NA,NA
"194",6001,1363,"Hamburg","S037","Sachsen-Lauenburg",1688,0,33,0,NA,NA
"195",6001,1364,"Hamburg","S037","Sachsen-Lauenburg",1688,0,33,0,NA,NA
"196",6001,1365,"Hamburg","S037","Sachsen-Lauenburg",1688,0,33,0,NA,NA
"197",6001,1366,"Hamburg","S037","Sachsen-Lauenburg",1688,0,33,0,NA,NA
"198",6001,1367,"Hamburg","S037","Sachsen-Lauenburg",1688,0,33,0,NA,NA
"199",6001,1368,"Hamburg","S037","Sachsen-Lauenburg",1688,0,33,0,NA,NA
"200",6001,1369,"Hamburg","S037","Sachsen-Lauenburg",1688,0,33,0,NA,NA
"201",6001,1370,"Hamburg","S037","Sachsen-Lauenburg",1688,0,33,0,NA,NA
"202",6001,1371,"Hamburg","S037","Sachsen-Lauenburg",1688,0,33,0,NA,NA
"203",6001,1372,"Hamburg","S037","Sachsen-Lauenburg",1688,0,32,-1,NA,NA
"204",6001,1373,"Hamburg","S037","Sachsen-Lauenburg",1688,0,32,0,NA,NA
"205",6001,1374,"Hamburg","S037","Sachsen-Lauenburg",1688,0,32,0,NA,NA
"206",6001,1375,"Hamburg","S037","Sachsen-Lauenburg",1688,0,32,0,NA,NA
"207",6001,1376,"Hamburg","S037","Sachsen-Lauenburg",1688,0,32,0,NA,NA
"208",6001,1377,"Hamburg","S037","Sachsen-Lauenburg",1688,0,32,0,NA,NA
"209",6001,1378,"Hamburg","S037","Sachsen-Lauenburg",1688,0,32,0,NA,NA
"210",6001,1379,"Hamburg","S037","Sachsen-Lauenburg",1688,0,32,0,NA,NA
"211",6001,1380,"Hamburg","S037","Sachsen-Lauenburg",1688,0,32,0,NA,NA
"212",6001,1381,"Hamburg","S037","Sachsen-Lauenburg",1688,0,32,0,NA,NA
"213",6001,1382,"Hamburg","S037","Sachsen-Lauenburg",1688,0,32,0,NA,NA
"214",6001,1383,"Hamburg","S037","Sachsen-Lauenburg",1688,0,32,0,NA,NA
"215",6001,1384,"Hamburg","S037","Sachsen-Lauenburg",1688,0,32,0,NA,NA
